,word1,word2,relation,freq. (unord),"freq. (w1,w2)","freq. (w2,w1)"
4282,cake,chicken,crossclassified,2,2,0
4281,cloth,man,crossclassified,2,0,2
3088,sneakers,woman,crossclassified,2,0,2
10065,cow,truck,crossclassified,2,0,2
7812,couch,short,crossclassified,2,2,0
10063,truck,turk,crossclassified,2,2,0
3092,flower,umbrella,crossclassified,2,0,2
3592,baby,skier,crossclassified,2,0,2
1899,giraffe,trees,crossclassified,2,2,0
4265,female,skater,crossclassified,2,0,2
13312,bread,fish,crossclassified,2,0,2
7823,dog,pul,crossclassified,2,2,0
9101,bench,sleeveless,crossclassified,2,2,0
4258,mug,shirt,crossclassified,2,0,2
12625,microwave,shirt,crossclassified,2,1,1
10057,carpet,frisbee,crossclassified,2,2,0
7804,cow,doll,crossclassified,2,2,0
3086,desert,donut,crossclassified,2,0,2
12092,shelf,shirt,crossclassified,2,2,0
13321,dugout,pavilion,crossclassified,2,2,0
7779,desk,mousepad,crossclassified,2,2,0
4297,girl,tennis,crossclassified,2,2,0
1901,leaf,sandwich,crossclassified,2,0,2
7782,earphone,plane,crossclassified,2,0,2
4295,fridge,shirt,crossclassified,2,0,2
4292,car,fender,crossclassified,2,2,0
9110,bird,feathers,crossclassified,2,2,0
337,donut,girl,crossclassified,2,0,2
4286,bridle,horse,crossclassified,2,0,2
7793,sandwich,spoon,crossclassified,2,2,0
10074,apple,friulian,crossclassified,2,2,0
15215,animal,boy,crossclassified,2,0,2
9106,fruit,strawberry,hypernymy.1,2,1,1
14834,car,hole,crossclassified,2,2,0
7799,house,sweater,crossclassified,2,2,0
13307,airplane,motorcycle,crossclassified,2,2,0
3097,umbrella,vegetable,crossclassified,2,2,0
4225,smoker,woman,crossclassified,2,0,2
10043,jesus,statue,crossclassified,2,0,2
14843,collar,tie,crossclassified,2,0,2
9348,dress,snowboarder,crossclassified,2,0,2
7858,grill,hood,crossclassified,2,0,2
3601,curtain,drink,crossclassified,2,2,0
4238,trousers,woman,crossclassified,2,0,2
13295,cruller,donut,co-hyponymy,2,0,2
3106,boy,youngster,crossclassified,2,2,0
9090,onion,vegetables,hypernymy.2,2,0,2
9344,cactus,flower,crossclassified,2,0,2
12110,bench,top,crossclassified,2,2,0
7870,desk,donuts,crossclassified,2,2,0
12111,animal,cabinet,crossclassified,2,0,2
12113,bar,countertop,crossclassified,2,2,0
12114,bar,glasses,crossclassified,2,2,0
7875,car,leg,crossclassified,2,2,0
7876,car,jeans,crossclassified,2,2,0
7854,toddler,woman,crossclassified,2,0,2
9347,bellow,chair,crossclassified,2,0,2
14842,mug,tea,crossclassified,2,2,0
4244,bird,pheasant,hypernymy.1,2,2,0
4250,horse,silhouette,crossclassified,2,2,0
4249,airings,jacket,crossclassified,2,0,2
4248,cumberland,woman,crossclassified,2,0,2
9097,microphone,suit,crossclassified,2,0,2
7837,basil,pizza,crossclassified,2,0,2
7838,marinara,pizza,crossclassified,2,0,2
7839,chair,rope,crossclassified,2,2,0
10054,sink,transmission,crossclassified,2,2,0
7842,potato,salad,crossclassified,2,0,2
7843,salad,slaw,hypernymy.1,2,2,0
15757,seat,sheet,crossclassified,2,2,0
9345,flower,unknown,crossclassified,2,2,0
7848,bowl,tomatoes,crossclassified,2,2,0
7849,bowl,furniture,crossclassified,2,2,0
3599,cellphone,dress,crossclassified,2,0,2
3037,jacket,rider,crossclassified,2,2,0
3032,coat,surfer,crossclassified,2,0,2
13419,shrine,temple,co-hyponymy,2,0,2
10340,airplane,sky,crossclassified,2,2,0
4534,motorcycle,quad,crossclassified,2,2,0
14735,awning,bus,crossclassified,2,2,0
709,blender,holder,crossclassified,2,2,0
10349,blender,bread,crossclassified,2,2,0
4528,pizza,sweet,crossclassified,2,2,0
10346,dog,fields,crossclassified,2,2,0
2149,man,repairman,crossclassified,2,2,0
11923,cookie,counter,crossclassified,2,0,2
7335,goat,house,crossclassified,2,0,2
11925,desk,sofa,crossclassified,2,2,0
4522,boy,toilet,crossclassified,2,2,0
7326,knife,silverware,crossclassified,2,2,0
11927,mate,rug,crossclassified,2,0,2
13542,cake,ring,crossclassified,2,2,0
13541,boot,carpet,crossclassified,2,0,2
10330,house,lodge,hypernymy.1,2,2,0
11912,bottle,floor,crossclassified,2,0,2
7300,biscuit,cake,hypernymy.2,2,0,2
9231,bottle,lotion,crossclassified,2,2,0
13556,kite,tree,crossclassified,2,2,0
13566,plate,waffle,crossclassified,2,0,2
10364,bench,handbag,crossclassified,2,2,0
11905,clock,lamppost,crossclassified,2,2,0
4551,vessels,woman,crossclassified,2,0,2
7281,dog,terrier,hypernymy.1,2,2,0
7283,apricot,fruit,hypernymy.2,2,0,2
1933,chain,train,co-hyponymy,2,0,2
7289,helmet,tent,crossclassified,2,0,2
7291,tent,tilt,crossclassified,2,2,0
7292,crowd,tent,crossclassified,2,0,2
10357,car,skateboarder,crossclassified,2,2,0
13558,kite,pole,crossclassified,2,2,0
2965,giraffe,t-shirt,crossclassified,2,2,0
4540,bridge,turntable,crossclassified,2,2,0
12552,crib,dress,crossclassified,2,2,0
13540,awning,elephant,crossclassified,2,0,2
7336,fence,shoe,crossclassified,2,2,0
11901,toyota,truck,crossclassified,2,0,2
10307,board,wood,crossclassified,2,2,0
7365,mirror,wall,crossclassified,2,2,0
12523,closet,wall,crossclassified,2,0,2
10310,board,platform,crossclassified,2,2,0
4500,goat,shirt,crossclassified,2,2,0
10309,board,floor,crossclassified,2,1,1
15502,scooter,tyre,crossclassified,2,2,0
3538,tent,woman,crossclassified,2,2,0
2990,motorbike,woman,crossclassified,2,0,2
1947,equestrians,horse,crossclassified,2,0,2
7375,sandwich,troat,crossclassified,2,2,0
10304,board,glows,crossclassified,2,2,0
14752,bowl,can,co-hyponymy,2,2,0
2991,doormat,rug,crossclassified,2,0,2
10302,board,watch,crossclassified,2,2,0
4494,carpet,cup,crossclassified,2,2,0
15739,grill,meal,crossclassified,2,2,0
11939,railing,train,crossclassified,2,0,2
7362,goggles,snowboarder,crossclassified,2,0,2
1925,bridge,elevated,crossclassified,2,2,0
15085,cap,glove,crossclassified,2,0,2
13539,elephant,tent,crossclassified,2,2,0
9225,bird,braid,crossclassified,2,2,0
1932,carrot,jacket,crossclassified,2,0,2
2975,boots,woman,crossclassified,2,0,2
7342,fence,player,crossclassified,2,2,0
10326,bird,building,crossclassified,2,0,2
9221,outhouse,structure,hypernymy.2,2,2,0
3531,child,sweatshirt,crossclassified,2,2,0
299,automobile,hood,crossclassified,2,0,2
2980,inner,woman,crossclassified,2,0,2
7348,raft,shirt,crossclassified,2,2,0
11935,drain,toilet,crossclassified,2,0,2
13529,clothes,tie,crossclassified,2,0,2
4506,man,reader,crossclassified,2,2,0
7360,automobile,bridge,crossclassified,2,0,2
2962,car,toyota,crossclassified,2,2,0
10370,handbag,jacket,crossclassified,2,0,2
10186,cake,tent,crossclassified,2,0,2
7203,handbag,train,crossclassified,2,0,2
10414,case,woman,co-hyponymy,2,0,2
13607,boat,shop,crossclassified,2,2,0
7195,bread,fries,crossclassified,2,2,0
3512,hotdog,napkin,crossclassified,2,2,0
4600,fruit,jar,crossclassified,2,1,1
7201,sheep,wooden,crossclassified,2,2,0
1937,boy,guitarist,crossclassified,2,2,0
10408,color,dog,crossclassified,2,0,2
10402,boat,horse,crossclassified,2,2,0
7206,curtain,wooden,crossclassified,2,2,0
7207,curtain,winos,crossclassified,2,2,0
1944,floor,mobile,crossclassified,2,2,0
15804,bag,bridge,crossclassified,2,0,2
11883,pole,storefront,crossclassified,2,0,2
15594,bridge,rope,crossclassified,2,2,0
4589,overalls,shirt,crossclassified,2,0,2
11875,pot,salad,crossclassified,2,2,0
7191,cat,cloth,crossclassified,2,2,0
10416,chair,class,crossclassified,2,2,0
4603,purse,shirt,crossclassified,2,2,0
14712,broccoli,spoon,crossclassified,2,0,2
7174,cow,livestock,co-hyponymy,2,2,0
10423,food,leftovers,hypernymy.1,2,2,0
15237,animal,bookshelf,crossclassified,2,0,2
13618,cheese,meat,co-hyponymy,2,0,2
12536,counter,toolbox,crossclassified,2,2,0
1943,floor,hall,hypernymy.2,2,2,0
7180,sink,sofa,crossclassified,2,1,1
14715,fork,snakes,crossclassified,2,2,0
13616,basket,bowl,co-hyponymy,2,0,2
10419,dog,wall,crossclassified,2,2,0
11874,pot,stew,crossclassified,2,2,0
13613,cycle,storefront,crossclassified,2,0,2
3505,bowler,man,crossclassified,2,0,2
7188,batter,belt,crossclassified,2,2,0
12531,bench,memorial,crossclassified,2,2,0
9267,dog,tile,crossclassified,2,2,0
4558,boy,eater,crossclassified,2,2,0
7254,cellphone,girl,crossclassified,2,0,2
14726,awning,depot,crossclassified,2,2,0
13580,bread,foot,crossclassified,2,2,0
13579,kid,pitcher,crossclassified,2,0,2
2953,cheese,plate,crossclassified,2,2,0
13578,gloves,pitcher,crossclassified,2,0,2
7252,girl,vest,crossclassified,2,2,0
15078,armoire,door,crossclassified,2,0,2
1502,cow,sofa,crossclassified,2,2,0
4587,eater,person,hypernymy.2,2,0,2
15076,commuter,desk,crossclassified,2,0,2
4565,customer,man,crossclassified,2,0,2
10377,cage,table,crossclassified,2,0,2
7263,peacock,turkey,crossclassified,2,1,1
9237,baby,jacket,crossclassified,2,0,2
10374,table,umbrella,crossclassified,2,1,1
10371,tonal,woman,crossclassified,2,0,2
9269,ledge,wall,crossclassified,2,0,2
10386,class,counter,crossclassified,2,0,2
14723,doubleheader,train,crossclassified,2,0,2
4583,horse,pants,crossclassified,2,2,0
2169,cupcake,flower,crossclassified,2,2,0
13599,cover,shirt,crossclassified,2,0,2
13598,carpet,comforter,crossclassified,2,2,0
10400,boat,inflatable,crossclassified,2,2,0
4585,building,poster,crossclassified,2,2,0
7224,food,hand,crossclassified,2,0,2
11887,patio,storefront,crossclassified,2,0,2
10396,bench,snack,crossclassified,2,2,0
7228,asparagus,broccoli,crossclassified,2,0,2
7229,broccoli,cheese,crossclassified,2,2,0
12543,booth,wall,crossclassified,2,2,0
10395,cup,tumbler,crossclassified,2,2,0
765,fabric,table,crossclassified,2,0,2
10390,floor,woman,crossclassified,2,1,1
10388,egg,table,crossclassified,2,0,2
13517,stem,vase,crossclassified,2,0,2
10300,cow,pony,crossclassified,2,2,0
7385,liquid,soup,crossclassified,2,0,2
7535,door,furniture,crossclassified,2,2,0
11994,beach,bird,crossclassified,2,0,2
1909,mouse,plate,crossclassified,2,2,0
11996,bird,ocean,crossclassified,2,2,0
9167,bag,suitcase,synonymy,2,0,2
12580,cabinet,girl,crossclassified,2,2,0
7532,door,wooden,crossclassified,2,2,0
10221,jacket,snack,crossclassified,2,2,0
10219,boy,desert,crossclassified,2,2,0
12589,beach,ground,crossclassified,2,2,0
14778,motorcycle,window,crossclassified,2,0,2
13446,motorcycle,tarp,crossclassified,2,2,0
15747,building,skateboarder,crossclassified,2,2,0
7540,door,wall,crossclassified,2,2,0
12582,cabinet,child,crossclassified,2,2,0
1951,plate,skater,crossclassified,2,0,2
12000,cabinet,tile,crossclassified,2,2,0
7523,bookshelf,furniture,crossclassified,2,2,0
15066,fork,utensils,crossclassified,2,2,0
11993,bird,shore,crossclassified,2,2,0
4426,gunman,man,crossclassified,2,0,2
7506,dixie,pitcher,crossclassified,2,0,2
10235,fess,woman,crossclassified,2,0,2
4433,cabbage,salad,crossclassified,2,1,1
12508,carpet,counter,crossclassified,2,2,0
7509,plate,zebra,crossclassified,2,0,2
9175,cup,shelf,crossclassified,2,0,2
4430,man,water,crossclassified,2,2,0
10234,bet,dresser,crossclassified,2,0,2
10232,pots,table,crossclassified,2,0,2
9174,rake,shelf,crossclassified,2,0,2
15788,building,city,crossclassified,2,2,0
10231,table,top,crossclassified,2,2,0
3567,cake,sweater,crossclassified,2,0,2
10230,jug,table,crossclassified,2,0,2
13453,broccoli,topping,crossclassified,2,2,0
9159,airplane,propellors,crossclassified,2,2,0
3570,sweater,top,crossclassified,2,2,0
4492,carpet,short,crossclassified,2,2,0
7586,coat,snow,crossclassified,2,0,2
10198,donuts,snacks,crossclassified,2,2,0
14787,dress,restaurant,crossclassified,2,0,2
4389,boy,giraffe,crossclassified,2,2,0
10197,child,rider,crossclassified,2,2,0
12015,jet,wings,crossclassified,2,2,0
4387,backpack,floor,crossclassified,2,0,2
12017,bridge,vehicles,crossclassified,2,2,0
7587,pole,snow,crossclassified,2,0,2
4407,bowl,shrimp,crossclassified,2,2,0
12595,carpet,girls,crossclassified,2,2,0
14790,patio,restaurant,crossclassified,2,0,2
10189,fine,table,crossclassified,2,0,2
7591,skateboard,snow,crossclassified,2,0,2
640,bowl,veggies,crossclassified,2,2,0
7595,bathtub,bottle,co-hyponymy,2,2,0
315,athlete,skater,hypernymy.1,2,0,2
4393,lamp,t-shirt,crossclassified,2,2,0
12011,curtain,shadow,crossclassified,2,2,0
9056,tie,torso,crossclassified,2,2,0
7569,carpet,hand,crossclassified,2,2,0
7548,step,table,crossclassified,2,0,2
10215,hairbrush,shirt,crossclassified,2,0,2
9314,transportation,truck,crossclassified,2,0,2
192,jacket,people,crossclassified,2,2,0
12007,bench,men,crossclassified,2,2,0
12500,box,tray,crossclassified,2,2,0
1568,custom,man,crossclassified,2,0,2
7558,child,shirts,crossclassified,2,2,0
4397,bottle,coke,crossclassified,2,2,0
7561,sink,trough,co-hyponymy,2,0,2
7562,tank,trough,crossclassified,2,0,2
4396,hooker,woman,hypernymy.2,2,0,2
7565,pool,trough,crossclassified,2,0,2
12594,carpet,children,crossclassified,2,2,0
10203,guy,shirt,crossclassified,2,0,2
3018,jacket,tag,crossclassified,2,2,0
7498,hat,slouch,crossclassified,2,2,0
9301,counter,windowsill,crossclassified,2,2,0
11960,bridge,fries,crossclassified,2,2,0
2137,surfboard,umbrella,crossclassified,2,0,2
13501,box,dresser,crossclassified,2,0,2
12518,art,bench,crossclassified,2,0,2
15789,leek,veg,hypernymy.2,2,2,0
10276,baby,man,co-hyponymy,2,0,2
10273,hackney,horse,hypernymy.2,2,0,2
4473,bathroom,child,crossclassified,2,0,2
14760,child,fess,crossclassified,2,2,0
13465,boat,men,crossclassified,2,2,0
9290,car,trees,crossclassified,2,2,0
7433,carpet,electronic,crossclassified,2,2,0
7434,bull,horn,crossclassified,2,2,0
7435,bull,steer,co-hyponymy,2,2,0
2135,pole,umbrella,crossclassified,2,0,2
3487,dress,sink,crossclassified,2,0,2
13492,boy,door,crossclassified,2,2,0
10283,shoo,train,crossclassified,2,0,2
10284,diner,shirt,crossclassified,2,0,2
11952,ceramic,vase,crossclassified,2,0,2
10286,camera,truck,crossclassified,2,0,2
9211,bed,flower,crossclassified,2,2,0
4487,napkin,shirt,co-hyponymy,2,0,2
9285,car,grill,crossclassified,2,2,0
2993,door,wheel,crossclassified,2,2,0
13511,bucket,plate,co-hyponymy,2,2,0
11949,jacket,rug,crossclassified,2,0,2
7400,motorcyclist,woman,crossclassified,2,0,2
7401,automobile,woman,crossclassified,2,0,2
15082,cabinet,face,crossclassified,2,2,0
15070,jacket,jerkin,hypernymy.1,2,2,0
12562,balloons,table,crossclassified,2,0,2
7405,awning,boat,crossclassified,2,0,2
4483,bathtub,screen,crossclassified,2,2,0
10288,couch,joystick,crossclassified,2,2,0
7409,coat,table,crossclassified,2,0,2
7440,automobile,desk,crossclassified,2,0,2
3486,brush,sink,crossclassified,2,0,2
4465,dugout,playing,crossclassified,2,2,0
7466,booth,wood,crossclassified,2,2,0
7471,sandwich,wrapper,crossclassified,2,2,0
7472,bong,bottle,crossclassified,2,0,2
3011,bottle,grinds,crossclassified,2,2,0
13472,robe,sari,crossclassified,2,2,0
11977,floor,hallway,crossclassified,2,2,0
13471,jet,monoplane,co-hyponymy,2,2,0
4447,skateboard,skating,crossclassified,2,2,0
4446,shoes,skateboard,crossclassified,2,0,2
7485,curtains,light,crossclassified,2,2,0
7486,curtains,drapes,synonymy,2,2,0
9180,pone,spoon,crossclassified,2,0,2
4444,leg,skateboard,crossclassified,2,0,2
15577,bride,person,hypernymy.2,2,2,0
13467,shadow,table,crossclassified,2,0,2
11981,canoe,kayak,hypernymy.1,2,0,2
4453,baker,girl,crossclassified,2,0,2
662,faucet,tap,hypernymy.1,2,2,0
12570,counter,toothbrushes,crossclassified,2,2,0
7464,boy,electronics,crossclassified,2,2,0
12512,chair,shorts,crossclassified,2,2,0
4464,seller,woman,crossclassified,2,0,2
13488,counter,mugs,crossclassified,2,2,0
7448,bite,food,hypernymy.2,2,0,2
4461,drinker,man,crossclassified,2,0,2
1540,pan,vegetable,crossclassified,2,2,0
9190,bread,hoagie,crossclassified,2,2,0
7453,donuts,dress,crossclassified,2,0,2
15506,basin,bathtub,co-hyponymy,2,0,2
7454,donut,dress,crossclassified,2,1,1
7456,trophy,vase,crossclassified,2,0,2
13481,bear,cub,crossclassified,2,2,0
13478,cloths,robe,crossclassified,2,0,2
4456,humans,woman,crossclassified,2,0,2
4455,jacket,water,crossclassified,2,2,0
7989,ladies,woman,hypernymy.2,2,0,2
3628,sheet,table,crossclassified,2,0,2
4154,cloth,girl,crossclassified,2,0,2
9634,donuts,tray,crossclassified,2,2,0
12331,stand,television,crossclassified,2,2,0
9457,veterinarian,woman,crossclassified,2,0,2
8552,catcher,net,crossclassified,2,2,0
3849,engine,motorcycle,crossclassified,2,0,2
8557,boy,paper,crossclassified,2,2,0
12336,mirror,shower,crossclassified,2,2,0
12930,man,stool,crossclassified,2,2,0
3709,soup,woman,crossclassified,2,0,2
3707,boy,scarf,crossclassified,2,2,0
8891,blanket,clothing,crossclassified,2,2,0
12926,cabinet,case,co-hyponymy,2,2,0
9632,clothing,surfer,crossclassified,2,0,2
12338,mirror,reflection,crossclassified,2,2,0
12339,animal,mirror,crossclassified,2,0,2
9627,girl,tie,crossclassified,2,2,0
9626,airplane,ground,crossclassified,2,2,0
9646,bellow,child,crossclassified,2,0,2
1799,rack,truck,crossclassified,2,0,2
3453,girl,toys,crossclassified,2,2,0
3867,dress,food,crossclassified,2,2,0
9451,phone,suit,crossclassified,2,0,2
8518,towel,tub,crossclassified,2,0,2
12422,mobile,van,crossclassified,2,0,2
1990,cake,craft,crossclassified,2,2,0
8899,corn,fork,crossclassified,2,0,2
8524,dresser,handle,crossclassified,2,2,0
8897,desk,machine,crossclassified,2,2,0
9455,blender,user,crossclassified,2,2,0
2035,florist,man,crossclassified,2,0,2
8531,bench,gown,crossclassified,2,2,0
12950,grill,hotdog,crossclassified,2,2,0
3321,dogs,sheep,crossclassified,2,0,2
12946,man,scarf,crossclassified,2,2,0
9651,car,gate,crossclassified,2,2,0
14976,floor,plaza,crossclassified,2,2,0
9649,building,hat,crossclassified,2,1,1
3710,bouquet,vase,crossclassified,2,0,2
8576,condiments,hotdog,crossclassified,2,0,2
8889,blanket,robe,crossclassified,2,2,0
8611,bared,food,crossclassified,2,0,2
8605,bed,coat,crossclassified,2,2,0
3405,building,monument,co-hyponymy,2,2,0
422,counter,shelve,crossclassified,2,2,0
9611,butterfly,jewelry,crossclassified,2,2,0
8608,stone,vase,crossclassified,2,0,2
9610,broach,butterfly,crossclassified,2,0,2
14990,cellphone,person,crossclassified,2,0,2
12906,boat,vest,crossclassified,2,2,0
3835,armchair,carpet,crossclassified,2,0,2
9609,butterfly,pin,crossclassified,2,2,0
3819,cake,pancake,hypernymy.1,2,1,1
9607,bathtub,floor,crossclassified,2,2,0
1811,bed,handbag,crossclassified,2,2,0
8871,man,sunglass,crossclassified,2,2,0
8619,carpet,glass,crossclassified,2,2,0
3814,bouquet,cake,crossclassified,2,0,2
8604,goggles,man,crossclassified,2,0,2
425,building,facade,crossclassified,2,2,0
8599,man,sky,crossclassified,2,2,0
3826,boat,boating,crossclassified,2,2,0
3338,cabinet,paper,crossclassified,2,2,0
8581,boy,dog,crossclassified,2,1,1
14987,baby,tub,crossclassified,2,0,2
8585,motorcycles,pavement,crossclassified,2,2,0
8887,blanket,man,crossclassified,2,1,1
2024,ground,rug,crossclassified,2,0,2
8589,cup,scissors,crossclassified,2,2,0
3829,skater,sweater,crossclassified,2,2,0
15030,game,goal,co-hyponymy,2,0,2
8593,can,cup,co-hyponymy,2,0,2
8881,blanket,cushion,co-hyponymy,2,2,0
8879,board,zebra,crossclassified,2,0,2
8594,camera,horse,crossclassified,2,0,2
9615,bench,share,crossclassified,2,2,0
8877,blender,miser,crossclassified,2,2,0
12736,auto,van,crossclassified,2,0,2
9664,sink,storage,crossclassified,2,2,0
8908,house,pant,crossclassified,2,2,0
9702,dustbin,sink,crossclassified,2,0,2
8436,bahamian,sandwich,crossclassified,2,0,2
8438,bag,knife,crossclassified,2,0,2
12428,jacket,plane,crossclassified,2,0,2
9709,awning,overhang,crossclassified,2,2,0
8442,spectacle,woman,crossclassified,2,0,2
3694,man,nerd,crossclassified,2,2,0
9703,curtain,remote,crossclassified,2,2,0
9701,cage,horse,crossclassified,2,0,2
14959,temple,tower,crossclassified,2,0,2
12989,house,shorts,crossclassified,2,2,0
12988,house,skater,crossclassified,2,2,0
12308,bottle,stand,crossclassified,2,2,0
12986,girl,money,crossclassified,2,2,0
9698,jeans,shoe,crossclassified,2,0,2
8458,counter,sauce,crossclassified,2,2,0
8459,cheese,counter,crossclassified,2,0,2
3281,container,pan,hypernymy.1,2,0,2
3279,meal,pan,crossclassified,2,0,2
9715,awning,structure,crossclassified,2,2,0
12302,fan,propeller,crossclassified,2,0,2
15491,farm,sheep,crossclassified,2,0,2
2060,cucumber,pickle,crossclassified,2,1,1
9728,mice,mouse,synonymy,2,0,2
9725,bench,greasepaint,crossclassified,2,2,0
8927,beach,man,crossclassified,2,0,2
9724,bench,woodenware,crossclassified,2,2,0
13009,dugout,sign,crossclassified,2,2,0
9723,bench,chain,crossclassified,2,2,0
12296,car,dash,crossclassified,2,2,0
8421,cap,garage,crossclassified,2,0,2
3918,dock,footbridge,crossclassified,2,2,0
13003,appliance,cabinet,crossclassified,2,0,2
3917,boardwalk,dock,crossclassified,2,0,2
13001,bottle,pot,co-hyponymy,2,2,0
12723,pie,sandwich,crossclassified,2,1,1
446,cake,display,crossclassified,2,2,0
9692,cat,pant,crossclassified,2,2,0
8513,blanket,pillow,crossclassified,2,2,0
15778,legs,skate,crossclassified,2,2,0
250,shirt,straw,crossclassified,2,2,0
3886,biscuit,roll,crossclassified,2,2,0
12732,man,mechanic,crossclassified,2,2,0
9676,cover,hat,crossclassified,2,0,2
9673,lory,truck,crossclassified,2,0,2
3884,fan,woman,crossclassified,2,0,2
9671,egg,sandwich,crossclassified,2,0,2
9667,dress,toll,crossclassified,2,2,0
3696,macaw,parrot,hypernymy.2,2,0,2
8506,motorcycle,rider,crossclassified,2,2,0
8910,car,steel,crossclassified,2,2,0
3879,bed,purse,crossclassified,2,2,0
12322,chair,top,crossclassified,2,2,0
8511,cabinet,chimney,crossclassified,2,2,0
9446,door,hood,crossclassified,2,2,0
14969,girl,skate,crossclassified,2,2,0
2045,cow,leaf,crossclassified,2,2,0
12968,man,ski,crossclassified,2,2,0
8489,desk,fruit,crossclassified,2,2,0
15142,counter,electronic,crossclassified,2,2,0
8917,belt,chair,crossclassified,2,0,2
3894,cart,storage,crossclassified,2,2,0
9690,dress,wall,crossclassified,2,1,1
9687,garage,wheel,crossclassified,2,2,0
9686,box,suit,crossclassified,2,0,2
8915,building,exterior,crossclassified,2,2,0
8477,bench,water,crossclassified,2,2,0
3890,biscuit,donut,crossclassified,2,1,1
12973,dog,hamster,crossclassified,2,0,2
8482,pizza,waffle,crossclassified,2,0,2
9681,bag,curtain,crossclassified,2,0,2
12970,hamster,mammal,hypernymy.2,2,2,0
8485,blazer,tie,crossclassified,2,0,2
9680,man,trouser,crossclassified,2,2,0
9443,door,hatchback,hypernymy.1,2,2,0
9605,dress,truck,crossclassified,2,0,2
14992,rope,truck,crossclassified,2,0,2
8623,headphones,shirt,crossclassified,2,0,2
15120,blanket,building,crossclassified,2,1,1
8750,ramp,rink,crossclassified,2,2,0
12377,shelf,shelve,crossclassified,2,2,0
8754,floor,ramp,crossclassified,2,0,2
9537,shirt,sweet,crossclassified,2,2,0
9536,beer,table,crossclassified,2,0,2
9535,desk,picture,crossclassified,2,2,0
12825,cat,truck,crossclassified,2,0,2
12823,girl,scarf,crossclassified,2,2,0
404,cheese,crust,crossclassified,2,0,2
12822,die,girl,crossclassified,2,0,2
12821,tranche,truck,crossclassified,2,0,2
3377,cow,llama,crossclassified,2,1,1
8765,clothes,woman,crossclassified,2,0,2
9531,airplane,smog,crossclassified,2,2,0
3378,alpaca,llama,hypernymy.2,2,0,2
8838,child,floor,crossclassified,2,2,0
3761,jackknife,knife,hypernymy.2,2,0,2
8747,cake,soup,co-hyponymy,2,0,2
8746,soup,spaghetti,crossclassified,2,2,0
3372,books,chair,crossclassified,2,0,2
9550,rickshaw,vehicle,hypernymy.2,2,0,2
8729,bottle,class,crossclassified,2,2,0
413,automobile,mirror,crossclassified,2,0,2
8732,dish,rice,crossclassified,2,0,2
412,man,scatter,crossclassified,2,2,0
12841,cheese,macaroni,crossclassified,2,2,0
9549,automobile,vehicle,hypernymy.2,2,0,2
12405,bed,cots,hypernymy.1,2,2,0
8736,house,television,crossclassified,2,2,0
3763,house,jeep,crossclassified,2,2,0
12836,candles,table,crossclassified,2,0,2
3727,briefcase,dress,crossclassified,2,0,2
12375,couch,women,crossclassified,2,2,0
263,child,goat,co-hyponymy,2,2,0
9543,cafe,restaurant,hypernymy.2,2,0,2
8836,hat,tree,crossclassified,2,2,0
8771,couch,hall,crossclassified,2,2,0
1838,bus,window,crossclassified,2,2,0
12791,bird,prate,crossclassified,2,2,0
12799,noodles,pan,crossclassified,2,0,2
9503,ramp,snow,crossclassified,2,0,2
8806,desk,telephone,crossclassified,2,2,0
9488,umbrella,van,crossclassified,2,0,2
3737,fence,train,crossclassified,2,0,2
9489,cat,door,crossclassified,2,0,2
9497,surfer,swimmer,hypernymy.2,2,2,0
9495,clothing,jersey,hypernymy.1,2,0,2
3393,craft,vase,crossclassified,2,0,2
9494,calico,cat,crossclassified,2,0,2
8820,pizza,rice,crossclassified,2,1,1
9492,counter,lid,crossclassified,2,2,0
8822,rice,vegetable,crossclassified,2,2,0
3734,boat,skiff,hypernymy.1,2,2,0
12785,couch,photo,crossclassified,2,2,0
15021,curtain,tub,crossclassified,2,2,0
9504,snow,snowmobile,crossclassified,2,2,0
12395,desk,light,crossclassified,2,2,0
275,lettuce,spinach,crossclassified,2,2,0
2000,bellow,bench,crossclassified,2,0,2
8776,couch,mom,crossclassified,2,2,0
3750,bird,crew,crossclassified,2,2,0
12385,futon,sofa,crossclassified,2,2,0
12386,futon,net,crossclassified,2,2,0
274,greens,lettuce,hypernymy.1,2,0,2
9518,horse,person,crossclassified,2,2,0
9517,sink,stand,crossclassified,2,2,0
12403,cat,van,crossclassified,2,0,2
9515,couple,tuxedo,crossclassified,2,2,0
9514,couple,groom,crossclassified,2,2,0
12390,coke,table,crossclassified,2,0,2
401,crust,utensils,crossclassified,2,2,0
12806,man,teammate,crossclassified,2,2,0
9487,car,reflection,crossclassified,2,2,0
9512,clothing,couple,crossclassified,2,0,2
3726,dress,luggage,crossclassified,2,2,0
8726,device,phone,hypernymy.1,2,1,1
8870,bear,bed,crossclassified,2,0,2
15000,shore,tree,crossclassified,2,2,0
9470,cup,pottery,crossclassified,2,2,0
8656,belt,truck,crossclassified,2,0,2
1833,man,mirror,crossclassified,2,2,0
9583,caretaker,man,crossclassified,2,0,2
9582,knife,pan,crossclassified,2,0,2
2015,dugout,glove,crossclassified,2,2,0
12881,plat,wheelchair,crossclassified,2,0,2
8669,bad,floor,crossclassified,2,0,2
8678,people,train,crossclassified,2,0,2
9574,bird,fields,crossclassified,2,2,0
9573,bird,chain,crossclassified,2,2,0
8861,kid,laptop,crossclassified,2,0,2
