	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
$wood tunnel	buildings	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.14
$back of vehicle	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$bike and trailer	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$boat railing	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$canyon	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$covered car	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$crew team	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$docks	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$flatbed truck	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$gondola	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$motorcart	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$passengers	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$plane engine	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$riverboat	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$rowing team	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$street sweeper	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$streetcar	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$sur board	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$train cargo	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$troller	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$white	vehicles	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.14
$ball cap	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$blindfold	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$bunny	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$chef jacket	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$chine	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$cloak	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$dog dress	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$ear cover	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$emblem	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$glittery shirt	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$golwess	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$halter	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$horse hat	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$ipad mini	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$lace	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$pager	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$plumbing	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$scorp	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$turbin	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$wakitaki	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$water hose	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$waterlines	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$wedingdress	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$wrist	clothing	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.14
$bantage	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$boquet	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$crab	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$doys	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$eiggl	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$fos	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$fried fish	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$frtisbe	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$girrafes	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$hard-drive	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$hrse	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$ibissen	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$mouse pad	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$peguin	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$penquin	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$prairie	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$race	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$skunk	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$stacthue	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$stoen	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$ston	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$toybird	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$wood pole	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$woodpecker	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$zeal	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$zera	animals_plants	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.14
$ball player	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$banana basket	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$bethtub	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$blue sky	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$boudoir	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$boy`	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$candil	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$chick grill	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$eyes	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$fires	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$freezer	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$frisbee players	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$furtuse	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$gjr,	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$grafetti	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$guys	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$handstand	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$hawaiian shirt	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$highchair tray	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$hippie	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$jewel	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$joy stick	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$keeper	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$ladt	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$lipstick	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$loiterer	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$man and surfboard	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$many	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$marcher	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$molibe	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$molibe phone	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$mover	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$news papper	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$palun	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$pensioner	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$person with dog	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$persons	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$rollerskater	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$seeveless	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$selveless	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$shooe	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$siblings	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$sissor	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$skaetboard	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$skisuit	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$slateboarder	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$sleeper	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$snow boat	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$spoons	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$spune	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$sub glass	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$sun calss	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$suweter	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$t-ashirt	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$t-shitr	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$tennis bat and ball	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$tothbrush	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$towal	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$toy cap	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$water bottel	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$water font	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$waterskier	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$wemen	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$witch	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$woman and boy	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$womanc	people	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.12
$apple fritter	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$baret	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$bax	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$beats	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$beens	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$beet	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$bread loaf	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$breading	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$breadstick	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$burgar	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$burrito wrap	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$bwel	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$bwol	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$cake toppings	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$cameras	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$caramel	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$cheese topping	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$chicken and rice	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$chicken wings	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$chili and cheese	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$chocolate-eclair	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$cike	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$dessert stack	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$fried rice	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$gourd	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$grains	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$greenbeans	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$hashbrowns	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$icecream	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$kebab	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$lentil	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$mayonnaise	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$meatloaf	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$motorcycle side car	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$muffins	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$mushrooms	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$musturd	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$olive	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$omeltte	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$panini	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$pizza without crust	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$playboy bunny image	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$potatoe	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$powder box	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$powder pack	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$ranch	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$receip	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$rice and beans	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sacuce	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sandhich	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sandwich ring	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sandwich topping	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sandwich wrapper	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sanwedge	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$saurkraut	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$scones	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$sour cream	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$spoke	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$strawberry shortcake	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$tbike	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$toasted bread	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$vagtable	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$vagtables	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$vegatable	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$vegitables	food	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.12
$3d painding	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$arcade	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$baby bottle	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$baby ties	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$baking dish	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$banaa	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$baseball shirt	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bathroom sinks	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$battiel	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bed post	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bed, sheets, toy	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$below	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bencc	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bench arm	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bench-swing	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$benh	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bicycle wheels	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bigger	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bird bowl	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bird feeder	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$black-capped chickadee	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$blackmat	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$blow	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$book stand	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bookase	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$booke	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bookshelve	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$boot	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$booth seat	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$boowle	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$both room	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bowl of cereal	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bowl of donuts	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$bureau	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$burritos	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$caarrot	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cabinet countertop	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cabinet doors	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cabinet overhead	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cake server	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$california-style pizza	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$candy dish	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$canopy bed	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$car stero	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$carbinet	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$carnival booth	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$carpe	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cat, chair	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$center	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$chair, shoe	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$chandelier	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$checkered floor	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$chest of drawers	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$chier	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$chopping block	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$chutney	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$clipboard	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$clok	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cobborte	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$colour box	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$construction materials	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$containers	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$convertible sofa	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cook top	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cooked vegetables	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cookie container	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$couboard	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$couch pillow	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cubborte	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cuisine	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$cup& saucer	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$curitan	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$curtian	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$dawal	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$deli	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$display shelf	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$divider	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$doile	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$dolll	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$draw	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$dust bin	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$dvd	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$earbud	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$earphone	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$elcelclers	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$entertainment stand	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$extreme sport	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$fake grass	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$file cabinet	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$file drawer	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$flags	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$flash	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$floor, carpet	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$food cup	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$foodbox	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$foor	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$fork and knief	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$forut	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$fowller	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$fruit table	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$game console	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$glassdoor	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$goldenart table	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$good	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$got	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$green	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$gril	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$grinder	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$hall	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$hammer	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$hassoc	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$hiking stick	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$home takarate	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$horses and carriage	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$hushpuppy	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$ice axe	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$ice box	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$ice cream sundae	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$instruments panel	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$jati	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$jucke	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$juser	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$kdy board	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$key pode	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$kichian	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$kitchen countertops	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$knlef	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$korean jindo	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$kye boars	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$kyepored	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$ladies finger	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$lattice	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$lecture hall	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$lighting	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$louger	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$media shelf	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$media shelves	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$meiter	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$messy, sundae,	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$mettal	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$modern kitchen	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$modular kitchen	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
$mom and daughter	home	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.12
